soundname	intervalname	F1	F2	F3	
013_25122019	g	281.2707821214078	1659.8438108997502	3032.5046404172876	
013_25122019	u	349.79387072646506	1540.3817157758062	3150.9211491922065	
013_25122019	p	975.3454169738665	1617.0815436743035	2735.3642902426395	
013_25122019	a	964.84920063387	1240.417242199968	2607.8099493795285	
013_25122019	l	535.5173605644342	1422.2183899753284	2864.0931192621006	
013_25122019	a	903.7581771963819	1501.8992762596336	2535.810730347347	
013_25122019	ŋ	580.9009221741119	1390.80046205906	2398.2380391746965	
013_25122019	g	375.2633734788929	1546.165636908969	3114.633579296535	
013_25122019	u	416.0386129512591	1714.1641101554771	3434.6645907802517	
013_25122019	p	617.5255896797544	1363.1277529309482	2682.624536250261	
013_25122019	a	864.8856522926499	1346.1059640341616	2992.3192590862736	
013_25122019	l	582.0196454726823	1391.2506031601688	3160.527249876658	
013_25122019	a	843.7910089294496	1494.0308935373919	2846.807503340359	
013_25122019	ŋ	610.9557754544809	1447.911240773077	2474.6938762276072	
013_25122019	g	278.23020098106116	1907.4425874592362	3100.3433950609965	
013_25122019	u	392.0711122097902	1147.57433619085	3152.8025268314213	
013_25122019	s	1112.3168080669661	1912.7034966509552	3344.456640509216	
013_25122019	i	365.40517784697244	2074.8477590034095	3000.7743507672767	
019_25122019	z	1651.9592043105936	2894.3457986484614	3901.480017323608	
019_25122019	ṵ	351.0966660945596	1551.782760160691	2481.2211061899466	
019_25122019	m	333.9432301596412	1383.6133200689499	2498.611176686178	
019_25122019	a	543.4836550812207	1254.024283812924	2673.812602941806	
019_25122019	p	669.4037319088062	1355.2044859954137	2897.2830562347535	
019_25122019	a	823.9488290119097	1353.4447169597402	3298.23637583256	
019_25122019	l	588.3076658957544	1404.6492226706457	3124.5160085107823	
019_25122019	a	930.8940404968437	1455.9900726509525	2699.308279177883	
019_25122019	ŋ	480.7774923283903	1432.0290204459293	2463.8528312372955	
019_25122019	z	338.8218251265081	1938.8250038431563	3217.829294043365	
019_25122019	ṵ	356.87016092766544	1578.6945956841143	2685.2569405477557	
019_25122019	m	304.3498402726149	1410.3413839884086	2501.1142209710715	
019_25122019	a	542.4603583435753	1280.3214196148026	2364.5736515857016	
019_25122019	p	604.0641514800238	1274.6155464121227	2714.2452927470026	
019_25122019	a	694.9725307417079	1261.8131787560528	2864.7773821105125	
019_25122019	l	595.7599233698219	1420.7006919627595	2910.636940937275	
019_25122019	a	795.9004516271623	1508.1161962302474	2764.4443168614794	
019_25122019	ŋ	481.26234709531593	1407.879087876134	2314.8964832543493	
019_25122019	z	465.9981635537016	2032.3455073390444	3329.148085547153	
019_25122019	ṵ	346.66686461762424	1622.8564093975306	2747.6680775297873	
019_25122019	m	299.51695293826054	1326.7991704799333	2423.4279228243768	
019_25122019	a	535.4218593885796	1278.8039942173464	2528.5299195486823	
019_25122019	p	614.9741098035496	1278.962356045522	2712.659358350874	
019_25122019	a	705.7157763201324	1259.4860339446188	2966.948279169976	
019_25122019	l	638.0927887181281	1400.15944021013	2787.0477254852085	
019_25122019	a	772.0300198279564	1477.63896821983	2494.0160802697665	
019_25122019	ŋ	503.49812752661825	1424.2629602955567	2313.105923033732	
048_25122019	l	340.1222750517331	1792.010778946775	2711.5093019892033	
048_25122019	ɛ	567.6651017111515	1962.1707908988833	2633.8412614959802	
048_25122019	p	857.5098021234584	1497.6584607285797	2540.3611809848358	
048_25122019	a	909.0550586072314	1426.887046057841	2627.0977446007464	
048_25122019	l	689.1967684959283	1517.23689821634	2462.971646512172	
048_25122019	a	848.7425732170051	1558.0790650608426	2425.1070186260704	
048_25122019	ŋ	607.9006479387756	1420.3896841434305	2249.669848125525	
048_25122019	l	326.39827758901646	1771.0183115370423	2649.127144070661	
048_25122019	ɛ	553.6775683324177	1872.931447994053	2602.158775064105	
